cycle_id,total_seed,size,weight,harvested,SR
27764,299108,45.8,1925.42,88184.236,29.482406354895225
16910,11000,73.0,108.33,7908.09,71.89172727272728
16910,11000,188.0,4.31,810.28,7.3661818181818175
16910,11000,100.0,32.6,3260.0,29.63636363636364
16910,11000,40.0,338.05,13522.0,122.92727272727274
27300,296000,130.8,391.9,51260.520000000004,17.317743243243243
27300,296000,89.4,486.2,43466.28,14.684554054054052
27300,296000,64.4,624.1,40192.04000000001,13.578391891891894
27300,296000,49.6,726.4,36029.44,12.172108108108109
27300,296000,70.3,5.1,358.53,0.12112499999999998
27300,296000,120.0,11.5,1380.0,0.46621621621621623
27300,296000,36.4,2653.4,96583.76,32.62964864864865
27300,296000,47.3,174.4,8249.119999999999,2.7868648648648646
27300,296000,120.0,184.3,22116.0,7.471621621621622
20288,274360,66.0,3494.0,230604.0,84.05161102201487
27325,100000,260.0,100.0,26000.0,26.0
27325,100000,240.0,200.0,48000.0,48.0
16488,240000,88.0,1084.0,95392.0,39.74666666666667
16488,240000,188.0,67.35,12661.8,5.2757499999999995
16488,240000,100.0,83.41,8341.0,3.475416666666667
16488,240000,70.0,16.0,1120.0,0.46666666666666673
16488,240000,70.0,845.43,59180.1,24.658375
17740,348646,106.34,323.35,34385.039000000004,9.86245045117397
17740,348646,106.34,0.59,62.7406,0.01799550260149263
17740,348646,82.22,146.06,12009.0532,3.444483286772256
17740,348646,82.22,1.36,111.81920000000001,0.03207241729433293
17740,348646,67.84,327.94,22247.4496,6.381099912231891
17740,348646,67.84,10.22,693.3248000000001,0.19886211228581427
17740,348646,60.4,4037.84,243885.536,69.9521967841306
17740,348646,60.4,131.6,7948.639999999999,2.2798598004853057
22273,25000,130.0,70.0,9100.0,36.4
18404,135000,65.0,120.0,7800.0,5.777777777777778
10242,80000,145.0,245.0,35525.0,44.40625
10242,80000,51.0,205.0,10455.0,13.068750000000001
10242,80000,40.0,754.0,30160.0,37.7
25360,204000,111.0,392.1,43523.100000000006,21.334852941176475
25360,204000,77.0,553.04,42584.079999999994,20.87454901960784
25360,204000,180.0,17.22,3099.6,1.5194117647058822
25360,204000,196.0,71.04,13923.840000000002,6.8254117647058825
25360,204000,77.0,553.04,42584.079999999994,20.87454901960784
25360,204000,180.0,17.22,3099.6,1.5194117647058822
25360,204000,54.0,350.92,18949.68,9.28905882352941
25360,204000,100.0,50.96,5096.0,2.4980392156862745
29099,333500,45.0,6868.39,309077.55,92.67692653673163
10367,120000,120.0,389.0,46680.0,38.9
10367,120000,100.0,310.0,31000.0,25.833333333333336
10367,120000,85.0,682.0,57970.0,48.30833333333333
27707,325000,95.0,703.8,66861.0,20.572615384615382
27707,325000,180.0,34.84,6271.200000000001,1.9296
27707,325000,83.0,2111.79,175278.57,53.93186769230769
27707,325000,180.0,137.72,24789.6,7.627569230769231
27707,325000,83.0,28.15,2336.45,0.7189076923076922
27707,325000,95.0,703.8,66861.0,20.572615384615382
27707,325000,95.0,34.84,3309.8,1.0184
27707,325000,83.0,2111.79,175278.57,53.93186769230769
27707,325000,83.0,137.72,11430.76,3.517156923076923
27707,325000,83.0,28.15,2336.45,0.7189076923076922
27707,325000,83.0,3.5,290.5,0.08938461538461538
27707,325000,83.0,2.0,166.0,0.051076923076923075
27707,325000,83.0,3.0,249.0,0.07661538461538463
19692,475000,146.0,350.0,51100.0,10.757894736842106
19692,475000,103.5,331.0,34258.5,7.212315789473685
19692,475000,76.3,3589.2,273855.95999999996,57.65388631578947
24223,120000,300.0,200.0,60000.0,50.0
21966,290000,30.0,2700.0,81000.0,27.93103448275862
21966,290000,44.0,4500.0,198000.0,68.27586206896552
12361,66000,105.0,149.4,15687.0,23.76818181818182
